,region,response,coverage,education,effective_to_date,month,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
233,central,no,basic,high school or below,2/18/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,web,suv,small
234,north west,no,basic,college,1/17/11,jan,medical leave,m,suburban,married,personal auto,personal l2,offer1,agent,two-door car,medsize
235,central,yes,basic,bachelor,1/25/11,jan,employed,f,rural,married,personal auto,personal l3,offer2,web,two-door car,medsize
236,north west,yes,premium,bachelor,1/24/11,jan,employed,f,suburban,single,special auto,special l3,offer2,agent,luxury car,medsize
237,west region,yes,basic,bachelor,1/12/11,jan,employed,f,suburban,married,personal auto,personal l3,offer2,call center,four-door car,small
238,central,no,basic,bachelor,1/6/11,jan,unemployed,f,suburban,married,corporate auto,corporate l3,offer1,agent,four-door car,small
239,west region,yes,basic,bachelor,1/11/11,jan,employed,f,suburban,divorced,personal auto,personal l3,offer1,web,suv,medsize
240,north west,no,premium,high school or below,2/8/11,feb,disabled,f,suburban,married,personal auto,personal l3,offer3,web,four-door car,small
241,west region,yes,extended,high school or below,2/18/11,feb,retired,m,suburban,divorced,personal auto,personal l3,offer2,agent,suv,medsize
242,central,no,extended,college,2/28/11,feb,employed,m,suburban,married,personal auto,personal l1,offer1,branch,four-door car,medsize
243,north west,no,basic,bachelor,2/20/11,feb,employed,f,rural,married,personal auto,personal l3,offer1,call center,suv,medsize
244,north west,no,basic,bachelor,1/14/11,jan,unemployed,m,suburban,married,personal auto,personal l1,offer1,agent,four-door car,medsize
245,north west,no,basic,college,1/8/11,jan,employed,m,suburban,married,corporate auto,corporate l1,offer2,web,four-door car,medsize
246,north west,no,basic,bachelor,2/15/11,feb,employed,f,rural,married,corporate auto,corporate l3,offer2,call center,four-door car,small
247,north west,no,premium,bachelor,1/30/11,jan,employed,f,rural,married,personal auto,personal l1,offer3,branch,four-door car,medsize
248,central,no,basic,high school or below,2/16/11,feb,employed,f,suburban,single,personal auto,personal l3,offer1,branch,four-door car,small
249,central,yes,basic,bachelor,1/13/11,jan,employed,m,suburban,divorced,personal auto,personal l3,offer1,agent,four-door car,medsize
250,north west,no,premium,bachelor,2/23/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer3,branch,suv,medsize
251,west region,no,basic,bachelor,2/26/11,feb,unemployed,f,suburban,divorced,personal auto,personal l1,offer3,call center,suv,medsize
252,central,no,basic,master,2/17/11,feb,unemployed,f,urban,single,personal auto,personal l2,offer1,web,two-door car,medsize
253,west region,no,basic,bachelor,2/15/11,feb,employed,m,rural,married,personal auto,personal l3,offer2,web,four-door car,medsize
254,west region,no,extended,high school or below,1/18/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer4,branch,two-door car,large
255,north west,no,basic,high school or below,2/25/11,feb,employed,f,urban,married,personal auto,personal l2,offer1,call center,four-door car,medsize
256,north west,no,basic,high school or below,1/3/11,jan,unemployed,m,suburban,single,personal auto,personal l1,offer2,branch,four-door car,medsize
257,central,no,basic,high school or below,1/2/11,jan,disabled,m,suburban,married,personal auto,personal l3,offer1,branch,two-door car,medsize
258,north west,yes,basic,college,1/28/11,jan,medical leave,f,suburban,single,corporate auto,corporate l3,offer2,web,four-door car,large
259,west region,no,premium,college,2/25/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,branch,four-door car,medsize
260,north west,no,premium,bachelor,1/31/11,jan,employed,m,rural,married,personal auto,personal l3,offer1,call center,four-door car,medsize
261,north west,no,basic,high school or below,1/12/11,jan,disabled,f,suburban,divorced,personal auto,personal l2,offer4,web,four-door car,medsize
262,north west,no,basic,bachelor,1/26/11,jan,employed,f,urban,divorced,personal auto,personal l1,offer3,agent,four-door car,medsize
263,north west,no,extended,high school or below,2/18/11,feb,employed,m,urban,married,personal auto,personal l2,offer4,agent,suv,medsize
264,north west,no,basic,bachelor,1/26/11,jan,unemployed,f,suburban,single,corporate auto,corporate l1,offer1,agent,four-door car,small
265,west region,no,premium,bachelor,2/16/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,web,suv,medsize
266,east,no,basic,bachelor,2/15/11,feb,employed,f,rural,married,personal auto,personal l1,offer2,web,four-door car,medsize
267,north west,no,basic,bachelor,2/4/11,feb,unemployed,m,suburban,married,personal auto,personal l3,offer1,agent,four-door car,medsize
268,east,no,basic,master,2/10/11,feb,employed,m,urban,married,personal auto,personal l2,offer3,branch,four-door car,medsize
269,north west,no,basic,college,2/8/11,feb,employed,f,suburban,single,corporate auto,corporate l3,offer1,agent,two-door car,medsize
270,central,no,extended,high school or below,2/20/11,feb,unemployed,f,suburban,married,personal auto,personal l3,offer4,agent,suv,medsize
271,east,no,extended,college,1/20/11,jan,employed,f,suburban,married,personal auto,personal l2,offer2,call center,four-door car,small
272,central,no,basic,doctor,2/1/11,feb,employed,m,suburban,married,personal auto,personal l2,offer3,call center,two-door car,small
273,north west,yes,basic,bachelor,1/19/11,jan,employed,m,suburban,single,corporate auto,corporate l3,offer1,agent,four-door car,medsize
274,west region,no,basic,bachelor,1/20/11,jan,employed,f,rural,divorced,corporate auto,corporate l2,offer2,call center,suv,medsize
275,central,no,basic,high school or below,1/22/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer1,web,two-door car,medsize
276,north west,no,basic,high school or below,1/13/11,jan,employed,m,rural,married,personal auto,personal l3,offer2,branch,four-door car,medsize
277,west region,no,extended,college,1/26/11,jan,unemployed,f,rural,single,personal auto,personal l3,offer3,branch,two-door car,large
278,north west,no,premium,bachelor,1/20/11,jan,employed,m,suburban,married,personal auto,personal l3,offer1,branch,four-door car,medsize
279,north west,no,premium,master,1/26/11,jan,employed,f,suburban,married,personal auto,personal l2,offer1,call center,sports car,large
280,central,no,basic,college,2/18/11,feb,employed,m,suburban,married,corporate auto,corporate l2,offer4,agent,four-door car,small
281,west region,no,premium,high school or below,2/20/11,feb,employed,f,suburban,married,corporate auto,corporate l2,offer2,call center,suv,medsize
282,north west,no,basic,high school or below,1/2/11,jan,unemployed,f,suburban,single,personal auto,personal l2,offer3,branch,suv,medsize
283,central,no,basic,high school or below,2/24/11,feb,unemployed,m,suburban,single,corporate auto,corporate l2,offer1,call center,four-door car,small
284,west region,no,extended,college,2/24/11,feb,employed,f,suburban,married,personal auto,personal l3,offer2,call center,two-door car,large
285,west region,yes,extended,bachelor,2/27/11,feb,retired,f,suburban,single,corporate auto,corporate l1,offer1,agent,suv,medsize
286,west region,no,basic,bachelor,1/24/11,jan,employed,m,suburban,single,personal auto,personal l2,offer1,branch,suv,medsize
287,west region,yes,basic,high school or below,1/29/11,jan,retired,f,suburban,divorced,corporate auto,corporate l3,offer1,branch,four-door car,medsize
288,central,no,basic,master,1/10/11,jan,employed,m,suburban,single,personal auto,personal l2,offer1,agent,suv,medsize
289,west region,no,extended,bachelor,2/23/11,feb,employed,f,suburban,divorced,personal auto,personal l3,offer3,branch,four-door car,medsize
290,west region,no,extended,high school or below,1/30/11,jan,employed,f,rural,married,personal auto,personal l2,offer2,agent,four-door car,medsize
291,central,no,extended,high school or below,1/7/11,jan,employed,f,urban,married,special auto,special l2,offer2,branch,four-door car,medsize
292,central,no,extended,high school or below,1/8/11,jan,unemployed,f,suburban,single,personal auto,personal l2,offer1,agent,four-door car,small
293,north west,no,extended,high school or below,2/17/11,feb,employed,m,suburban,married,corporate auto,corporate l3,offer3,branch,four-door car,medsize
294,north west,no,extended,high school or below,1/6/11,jan,employed,f,suburban,divorced,personal auto,personal l3,offer1,branch,four-door car,medsize
295,central,yes,premium,high school or below,1/31/11,jan,employed,f,suburban,divorced,personal auto,personal l2,offer1,call center,four-door car,medsize
296,north west,no,basic,college,1/9/11,jan,unemployed,m,suburban,single,personal auto,personal l1,offer4,web,two-door car,large
297,north west,no,basic,high school or below,2/25/11,feb,employed,m,suburban,married,personal auto,personal l1,offer4,call center,four-door car,medsize
298,north west,no,extended,college,2/14/11,feb,employed,m,suburban,married,personal auto,personal l2,offer1,call center,luxury car,medsize
299,west region,no,basic,master,1/11/11,jan,employed,f,rural,married,personal auto,personal l2,offer2,web,four-door car,medsize
300,west region,no,basic,bachelor,1/21/11,jan,employed,m,suburban,single,personal auto,personal l1,offer4,branch,four-door car,medsize
301,west region,no,basic,master,2/23/11,feb,disabled,f,suburban,divorced,corporate auto,corporate l1,offer1,call center,four-door car,medsize
302,east,no,basic,college,2/28/11,feb,employed,m,rural,married,personal auto,personal l3,offer1,agent,two-door car,medsize
303,north west,no,basic,high school or below,2/27/11,feb,unemployed,f,suburban,married,corporate auto,corporate l3,offer1,branch,four-door car,medsize
304,west region,no,basic,college,2/19/11,feb,employed,f,suburban,married,special auto,special l1,offer4,branch,four-door car,small
305,west region,no,premium,master,2/18/11,feb,employed,f,urban,married,personal auto,personal l1,offer3,web,four-door car,medsize
306,central,yes,basic,bachelor,2/6/11,feb,employed,m,suburban,single,personal auto,personal l3,offer2,call center,four-door car,small
307,north west,no,basic,high school or below,2/1/11,feb,employed,f,suburban,married,personal auto,personal l3,offer2,agent,two-door car,medsize
308,west region,yes,basic,college,1/3/11,jan,retired,m,suburban,divorced,corporate auto,corporate l3,offer2,web,four-door car,medsize
309,central,no,premium,college,2/21/11,feb,unemployed,f,urban,married,personal auto,personal l2,offer4,agent,two-door car,medsize
310,east,no,basic,bachelor,1/22/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer1,branch,suv,small
311,central,no,basic,bachelor,2/15/11,feb,employed,m,rural,divorced,personal auto,personal l3,offer1,agent,two-door car,large
312,west region,yes,extended,high school or below,1/31/11,jan,unemployed,m,suburban,married,corporate auto,corporate l3,offer1,agent,suv,medsize
313,central,no,premium,college,1/18/11,jan,unemployed,m,suburban,single,corporate auto,corporate l3,offer1,call center,four-door car,small
314,west region,no,basic,high school or below,1/26/11,jan,employed,f,rural,married,personal auto,personal l2,offer2,branch,two-door car,medsize
315,central,no,basic,college,1/30/11,jan,employed,f,rural,divorced,personal auto,personal l2,offer1,agent,four-door car,small
316,west region,yes,basic,bachelor,1/25/11,jan,employed,f,rural,married,personal auto,personal l1,offer2,web,two-door car,medsize
317,west region,no,premium,bachelor,1/15/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer1,web,four-door car,medsize
318,west region,no,premium,bachelor,2/7/11,feb,employed,m,suburban,single,personal auto,personal l2,offer3,branch,four-door car,medsize
319,central,no,extended,bachelor,2/3/11,feb,unemployed,f,rural,married,corporate auto,corporate l3,offer1,agent,four-door car,medsize
320,west region,yes,basic,bachelor,2/17/11,feb,employed,f,urban,divorced,personal auto,personal l2,offer2,web,two-door car,medsize
321,central,no,basic,college,2/5/11,feb,medical leave,m,suburban,divorced,corporate auto,corporate l3,offer3,branch,suv,medsize
322,central,no,basic,bachelor,2/8/11,feb,employed,m,rural,married,personal auto,personal l1,offer2,call center,four-door car,medsize
323,north west,no,extended,college,1/28/11,jan,unemployed,m,rural,married,personal auto,personal l3,offer2,call center,four-door car,medsize
324,west region,no,premium,bachelor,1/19/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer3,agent,two-door car,small
325,east,no,basic,bachelor,2/6/11,feb,employed,m,urban,married,corporate auto,corporate l1,offer2,branch,two-door car,medsize
326,west region,no,basic,bachelor,1/8/11,jan,employed,m,urban,married,corporate auto,corporate l1,offer1,call center,two-door car,small
327,north west,no,basic,college,1/12/11,jan,employed,f,suburban,married,personal auto,personal l1,offer3,web,two-door car,large
328,north west,no,basic,bachelor,1/23/11,jan,disabled,m,suburban,married,corporate auto,corporate l3,offer3,branch,sports car,medsize
329,west region,no,basic,college,2/6/11,feb,employed,m,rural,single,personal auto,personal l3,offer2,call center,two-door car,medsize
330,east,no,basic,college,2/1/11,feb,unemployed,m,suburban,divorced,personal auto,personal l2,offer1,agent,sports car,medsize
331,west region,no,extended,college,2/4/11,feb,employed,m,rural,married,personal auto,personal l1,offer4,branch,two-door car,medsize
